Id,MSSubClass,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,Log_SalePrice,Log_GrLivArea,Log_LotArea,Log_TotalBsmtSF,TotalSF,Age,Qual_GrLivArea
11,20,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,-0.7951514718918303,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,Rec,906,Unf,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,0,1965.0,Unf,1,384,3,3,Y,0,0,0,0,0,0,0,2,2008,WD,129500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,11.771443882099637,-0.9621411308592118,0.4114373322793409,0.1723336629619597,-0.5929255968871511,0.21336307476939018,-0.8602883992335586
12,60,85.0,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,2.0981099585432412,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,No,GLQ,998,Unf,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,Typ,2,4,2005.0,Fin,3,736,3,3,Y,147,21,0,0,0,0,0,7,2006,New,345000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,12.75130259456002,1.4495189887221012,0.5325412951942003,0.278799154590654,1.1345434276047717,-1.1755354119460029,2.1905235991475833
13,20,69.0,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,-0.7951514718918303,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,No,ALQ,737,Unf,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,0,1962.0,Unf,1,352,3,3,Y,140,0,0,0,176,0,0,9,2008,WD,144000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,11.87757552297847,-1.3559153824561168,0.6948115735339796,0.057779490483681785,-0.9045761044769554,0.3125701095347754,-0.9174313320144816
14,20,91.0,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,0.6514792433257054,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,Av,Unf,0,Unf,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,2006.0,RFn,3,840,3,3,Y,160,33,0,0,0,0,0,8,2007,New,279500,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,12.540761149388421,0.12416299608776538,0.3144491022683455,0.48835399648426275,0.5124597972204359,-1.1755354119460029,0.5708403495916813
15,20,69.0,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,-0.07183611428306244,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,No,BLQ,733,Unf,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,1960.0,RFn,1,352,3,3,Y,0,213,176,0,0,0,0,5,2008,WD,157000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,11.964007453736912,-0.40342899071097243,0.36248930421281916,0.3348704631938017,-0.07431967410099244,0.37870813271169884,-0.1577784138551143
16,45,51.0,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,0.6514792433257054,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,0,1991.0,Unf,2,576,3,3,Y,48,112,0,0,0,0,0,7,2007,WD,132000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,11.790564777297387,-1.5529040051946095,-0.7569446421563429,-0.022287421989230862,-1.0725752062245841,1.370778480365551,0.23012346130189953
17,20,69.0,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,-0.07183611428306244,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,No,ALQ,578,Unf,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,1970.0,Fin,2,480,3,3,Y,0,0,0,0,0,0,700,3,2010,WD,149000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,11.91170829631447,-1.067769661544179,0.4185018382129485,0.1416049170532521,-0.6805773021467835,0.11415604000400495,-0.27346614349138093
18,90,72.0,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,-1.518466829500598,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,None,None,0,None,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,0,1967.0,Unf,2,516,3,3,Y,0,0,0,0,0,0,500,10,2006,WD,90000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,11.407576060361786,-0.3022387388612262,0.33951441892573814,-5.894038092795351,-1.5473552763809266,0.08108702841554322,-1.388894818122643
19,20,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,RRAe,Norm,-0.7951514718918303,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,No,GLQ,646,Unf,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,0,2004.0,Unf,2,576,3,3,Y,0,102,0,0,0,0,0,6,2008,WD,159000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,11.976665770490767,-0.7560339446752996,0.8002694034744587,0.23229298752260602,-0.4127526471867955,-1.0763283771806176,-0.8303789548297921
20,20,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,-0.7951514718918303,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,No,LwQ,504,Unf,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,0,1958.0,Unf,1,294,3,3,Y,0,0,0,0,0,0,0,5,2009,COD,139000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11.842236406331555,-0.20434918123361143,-0.34843473517856816,0.16305853711728666,-0.2423187758486213,0.47791516747708407,-0.7503206848292469
21,60,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1.3747946009344731,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,Av,Unf,0,Unf,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4,2005.0,RFn,3,853,3,3,Y,240,154,0,0,0,0,0,11,2006,New,325300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,12.692506186542177,1.5159052128734698,0.8723205677566896,0.2660854285018897,1.1771518954393152,-1.1755354119460029,1.5307271215821214
22,45,57.0,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,0.6514792433257054,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,No,Unf,0,Unf,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,1930.0,Unf,1,280,3,3,N,0,0,205,0,0,0,0,6,2007,WD,139400,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,11.845109950883979,-0.7722280538938489,-0.3770303628406803,-0.2551440492401998,-1.0007495033034965,1.3377094687770892,0.38872742923309783
23,20,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1.3747946009344731,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,No,Unf,0,Unf,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,2002.0,RFn,2,534,3,3,Y,171,159,0,0,0,0,0,9,2008,WD,230000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,12.345838935721968,0.6747089278451178,0.1418004563840213,0.6397203622374705,1.2234125176596768,-1.010190354003694,1.335413496779073
24,120,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,-0.7951514718918303,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,No,GLQ,840,Unf,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,1976.0,Unf,2,572,3,3,Y,100,110,0,0,0,0,0,6,2007,WD,129900,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,11.774527900858468,-0.9050261634965998,-1.4737120387157325,0.1723336629619597,-0.5685779009816976,-0.1834650642921507,-0.8520001052997865
25,20,69.0,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,-0.7951514718918303,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,Mn,Rec,188,ALQ,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,Typ,1,3,1968.0,Unf,1,270,3,3,Y,406,90,0,0,0,0,0,5,2010,WD,154000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,11.944714374881176,-0.9050261634965998,-0.18051629364749994,0.18894916739327913,-0.5442302050762442,0.18029406318092842,-0.8520001052997865
26,20,110.0,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1.3747946009344731,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,No,Unf,0,Unf,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,Typ,1,4,2007.0,RFn,3,890,3,3,Y,0,56,0,0,0,0,0,7,2009,WD,256300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,12.454107814022272,0.3297587962815482,0.8743596427114352,0.529422654488155,0.7291542907789716,-1.142466400357541,1.2553210596498499
27,20,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,-0.7951514718918303,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,Mn,BLQ,234,Rec,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,Typ,0,0,2005.0,Unf,2,576,3,3,Y,222,32,0,0,0,0,0,5,2010,WD,134800,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,11.811554895830454,-1.395624463931255,-0.4427586420366654,0.04622758999803625,-0.9337933395634994,0.742467260184778,-0.9231937539207488
28,20,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1.3747946009344731,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,No,GLQ,1218,Unf,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,Typ,1,4,2008.0,RFn,3,772,3,3,Y,0,50,0,0,0,0,0,5,2010,WD,306000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,12.631343648903034,0.5186507045620726,0.45883989934283337,0.6031157230671027,1.0237614112349585,-1.1093973887690793,1.2991790318721008
29,20,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,-0.7951514718918303,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,Gd,BLQ,1277,Unf,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,4,1957.0,RFn,1,319,3,3,Y,288,258,0,0,0,0,0,12,2006,WD,207500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,12.242891437918386,0.3297587962815482,1.1394280505178067,0.4824941193980001,0.6293287375666125,0.4117771443001606,-0.6728130871812775
30,30,60.0,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,Feedr,RRNn,-1.518466829500598,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,Typ,0,0,1920.0,Unf,1,240,2,3,Y,49,0,87,0,0,0,0,5,2008,WD,68500,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,11.134603622683905,-3.0396027192860053,-0.6935550975973989,-0.4320275723207759,-1.8590057839707308,1.4699855151309362,-1.7066830031976905
